date,index
2006-08-08,86.73809210526316
2006-09-20,84.89509868421052
2006-10-25,85.18069078947369
2006-12-12,81.65401315789474
2007-01-31,82.76401315789474
2007-03-21,83.94069078947369
2007-05-09,86.72661184210527
2007-06-18,89.50171052631578
2007-08-07,96.27970394736842
2007-09-18,81.50210526315789
2007-10-31,72.21509868421053
2007-12-11,56.58157894736842
2008-01-30,33.570394736842104
2008-03-18,12.054934210526312
2008-04-30,9.294736842105253
2008-06-25,15.390460526315783
2008-08-05,30.402960526315795
2008-09-16,45.977302631578944
2008-10-29,40.903618421052634
2008-12-16,39.86381578947368
2009-01-28,29.849013157894746
2009-03-18,12.448684210526315
2009-04-29,0.0
2009-06-24,5.330592105263153
2009-08-12,11.299013157894732
2009-09-23,12.430921052631584
2009-11-04,16.798355263157898
2009-12-16,21.019078947368417
2010-01-27,23.974999999999994
2010-03-16,23.788815789473688
2010-04-28,25.255592105263155
2010-06-23,27.623355263157894
2010-08-10,28.0983552631579
2010-09-21,29.694407894736838
2010-11-03,30.389473684210518
2010-12-14,30.72993421052632
2011-01-26,34.80789473684211
2011-03-15,45.60328947368421
2011-04-27,55.53651315789473
2011-06-22,56.91184210526316
2011-08-09,53.169736842105266
2011-09-21,52.99506578947368
2011-11-02,48.853289473684214
2011-12-13,44.84374999999999
2012-01-25,44.67434210526316
2012-03-13,48.484210526315785
2012-04-25,47.12894736842105
2012-06-20,49.23914473684211
2012-08-01,43.293092105263156
2012-09-13,46.17697368421052
2012-10-24,47.261184210526324
2012-12-12,43.948684210526324
2013-01-30,39.27730263157895
2013-03-20,44.45493421052631
2013-05-01,43.607894736842105
2013-06-19,43.24703947368421
2013-07-31,45.65624999999999
2013-09-18,48.456907894736844
2013-10-30,48.58355263157895
2013-12-18,47.90690789473685
2014-01-29,50.366118421052626
2014-03-19,48.93322368421053
2014-04-30,51.82105263157895
2014-06-18,59.3078947368421
2014-07-30,66.45
2014-09-17,67.75421052631579
2014-10-29,72.40598684210526
2014-12-17,72.30259868421052
2015-01-28,69.56230263157896
2015-03-18,69.53891447368422
2015-04-29,69.54440789473685
2015-06-17,74.6439144736842
2015-07-29,79.35960526315789
2015-09-17,80.68059210526316
2015-10-28,81.19549342105263
2015-12-16,82.93078947368421
2016-01-27,78.50368421052633
2016-03-16,73.53608552631579
2016-04-27,72.59411184210526
2016-06-15,70.81088815789474
2016-07-27,71.38868421052632
2016-09-21,74.39661184210526
2016-11-02,75.40210526315789
2016-12-14,73.79088815789474
2017-02-01,73.42940789473683
2017-03-15,72.7775
2017-05-03,72.67858552631579
2017-06-14,71.31039473684211
2017-07-26,73.63009868421052
2017-09-20,74.70161184210525
2017-11-01,73.03309210526317
2017-12-13,68.72078947368422
2018-01-31,68.56069078947368
2018-03-21,67.51200657894738
2018-05-02,66.54440789473684
2018-06-13,72.4211842105263
2018-08-01,78.8789144736842
2018-09-26,84.245
2018-11-08,87.82970394736842
2018-12-19,91.44819078947368
2019-01-30,88.72519736842105
2019-03-20,84.30230263157895
2019-05-01,81.97500000000001
2019-06-19,79.0496052631579
2019-07-31,73.4146052631579
2019-09-18,70.04700657894738
2019-10-11,73.13200657894737
2019-10-30,68.62
2019-12-11,67.30608552631578
2020-01-29,66.06973684210527
2020-03-03,56.20427631578947
2020-03-15,48.58717105263158
2020-03-23,42.465131578947364
2020-04-29,47.18289473684211
2020-06-10,45.97105263157895
2020-07-29,47.23618421052632
2020-09-16,60.77039473684211
2020-11-05,69.66088815789472
2020-12-16,73.92220394736842
2021-01-27,76.20401315789474
2021-03-17,78.23171052631578
2021-04-28,81.72421052631579
2021-06-16,87.29059210526316
2021-07-28,94.155
2021-09-22,99.07679934210526
2021-11-03,100.0
2021-12-15,97.2165
2022-01-26,94.8139144736842
2022-03-16,85.94088815789475
2022-05-04,76.09598684210526
2022-06-15,71.335
2022-07-27,70.66480263157894
2022-09-21,71.09289473684211
2022-11-02,73.96809210526315
2022-12-14,78.68549342105263
2023-02-01,79.43078947368421
2023-03-22,79.53730263157895
2023-05-03,77.21588815789474
2023-06-14,78.2
2023-07-26,79.98779605263158
2023-09-20,82.51680921052632
2023-11-01,82.89480263157895
2023-12-13,81.27000000000001
2024-01-31,81.34671052631579
2024-03-20,81.19108552631579
2024-05-01,81.30519736842105
2024-06-12,83.26901315789473
2024-07-31,89.56710526315788
2024-09-18,86.59358552631579
